tick,message
1,"Honduras has become insolvent (wealth -2.0)."
1,"Nicaragua has become insolvent (wealth -2.1)."
1,"Panamá has become insolvent (wealth -1.9)."
3,"Trade clause missed_payment: treaty #1 clause 1 — insufficient wealth (have 2.8, need 5)."
4,"Trade clause missed_payment: treaty #1 clause 1 — insufficient wealth (have 1.7, need 5)."
4,"Trade clause breached: treaty #1 clause 1 — 2 consecutive missed payments. Trust penalty applied."
4,"Guatemala has become insolvent (wealth -0.4)."
