tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
21,costa_rica,nation_costa_rica,0.091226,0.072924,0.000000,0.020000,0.022924,0.000000,0.000000,0.030000,0.000000,0,0.958320
21,panama,nation_panama,0.017812,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
22,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
22,guatemala,nation_guatemala,0.018030,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
22,belize,nation_costa_rica,0.517497,0.491698,0.123607,0.020000,0.158092,0.160000,0.000000,0.030000,0.000000,0,0.712561
22,honduras,nation_costa_rica,0.254962,0.202897,0.044974,0.020000,0.027923,0.080000,0.000000,0.030000,0.000000,0,0.949230
22,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
22,nicaragua,nation_costa_rica,0.181528,0.134884,0.030997,0.020000,0.013887,0.040000,0.000000,0.030000,0.000000,0,0.974751
22,costa_rica,nation_costa_rica,0.089396,0.072518,0.000000,0.020000,0.022518,0.000000,0.000000,0.030000,0.000000,0,0.959059
22,panama,nation_panama,0.018030,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
23,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
23,guatemala,nation_guatemala,0.018227,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
23,belize,nation_costa_rica,0.514917,0.485950,0.118102,0.020000,0.157849,0.160000,0.000000,0.030000,0.000000,0,0.713003
23,honduras,nation_costa_rica,0.249756,0.198321,0.040826,0.020000,0.027494,0.080000,0.000000,0.030000,0.000000,0,0.950010
23,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
23,nicaragua,nation_costa_rica,0.176864,0.131424,0.027775,0.020000,0.013648,0.040000,0.000000,0.030000,0.000000,0,0.975185
23,costa_rica,nation_costa_rica,0.087708,0.072117,0.000000,0.020000,0.022117,0.000000,0.000000,0.030000,0.000000,0,0.959788
23,panama,nation_panama,0.018227,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
24,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
24,guatemala,nation_guatemala,0.018405,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
24,belize,nation_costa_rica,0.512020,0.480444,0.112839,0.020000,0.157605,0.160000,0.000000,0.030000,0.000000,0,0.713445
24,honduras,nation_costa_rica,0.244612,0.194126,0.037056,0.020000,0.027070,0.080000,0.000000,0.030000,0.000000,0,0.950782
24,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
24,nicaragua,nation_costa_rica,0.172320,0.128300,0.024886,0.020000,0.013414,0.040000,0.000000,0.030000,0.000000,0,0.975612
