tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
21,nation_guatemala,82.32,23.52,-23.10,,-0.400000,-0.500000,0.200000,0.100000,latin
21,nation_panama,6.72,6.72,-39.06,,0.100000,0.200000,-0.400000,-0.300000,latin
22,nation_costa_rica,63.38,29.78,-15.78,,-0.116273,0.029024,-0.351369,-0.329722,latin
22,nation_guatemala,86.24,24.64,-24.20,,-0.400000,-0.500000,0.200000,0.100000,latin
22,nation_panama,7.04,7.04,-40.92,,0.100000,0.200000,-0.400000,-0.300000,latin
23,nation_costa_rica,66.40,31.18,-16.44,,-0.116418,0.028717,-0.350769,-0.329394,latin
23,nation_guatemala,90.16,25.76,-25.30,,-0.400000,-0.500000,0.200000,0.100000,latin
23,nation_panama,7.36,7.36,-42.78,,0.100000,0.200000,-0.400000,-0.300000,latin
24,nation_costa_rica,69.42,32.58,-17.10,,-0.116560,0.028412,-0.350173,-0.329068,latin
24,nation_guatemala,94.08,26.88,-26.40,,-0.400000,-0.500000,0.200000,0.100000,latin
24,nation_panama,7.68,7.68,-44.64,,0.100000,0.200000,-0.400000,-0.300000,latin
25,nation_costa_rica,72.44,33.98,-17.76,,-0.116700,0.028110,-0.349582,-0.328745,latin
25,nation_guatemala,98.00,28.00,-27.50,,-0.400000,-0.500000,0.200000,0.100000,latin
25,nation_panama,8.00,8.00,-46.50,,0.100000,0.200000,-0.400000,-0.300000,latin
26,nation_costa_rica,75.46,35.38,-18.42,,-0.116837,0.027813,-0.348995,-0.328425,latin
26,nation_guatemala,101.92,29.12,-28.60,,-0.400000,-0.500000,0.200000,0.100000,latin
26,nation_panama,8.32,8.32,-48.36,,0.100000,0.200000,-0.400000,-0.300000,latin
27,nation_costa_rica,78.48,36.78,-19.08,,-0.116970,0.027519,-0.348414,-0.328107,latin
27,nation_guatemala,105.84,30.24,-29.70,,-0.400000,-0.500000,0.200000,0.100000,latin
27,nation_panama,8.64,8.64,-50.22,,0.100000,0.200000,-0.400000,-0.300000,latin
28,nation_costa_rica,81.50,38.18,-19.74,,-0.117101,0.027230,-0.347840,-0.327794,latin
28,nation_guatemala,109.76,31.36,-30.80,,-0.400000,-0.500000,0.200000,0.100000,latin
28,nation_panama,8.96,8.96,-52.08,,0.100000,0.200000,-0.400000,-0.300000,latin
29,nation_costa_rica,84.52,39.58,-20.40,,-0.117228,0.026945,-0.347272,-0.327484,latin
29,nation_guatemala,113.68,32.48,-31.90,,-0.400000,-0.500000,0.200000,0.100000,latin
29,nation_panama,9.28,9.28,-53.94,,0.100000,0.200000,-0.400000,-0.300000,latin
30,nation_costa_rica,87.54,40.98,-21.06,,-0.117352,0.026665,-0.346711,-0.327178,latin
30,nation_guatemala,117.60,33.60,-33.00,,-0.400000,-0.500000,0.200000,0.100000,latin
30,nation_panama,9.60,9.60,-55.80,,0.100000,0.200000,-0.400000,-0.300000,latin
