tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
9,nation_ai_merchant,2.88,2.88,2.76,,0.100000,0.200000,-0.400000,-0.300000,latin
9,nation_costa_rica,4.50,4.50,27.80,,0.100000,0.300000,-0.800000,-0.600000,latin
9,nation_guatemala,35.28,10.08,-9.90,,-0.400000,-0.500000,0.200000,0.100000,latin
9,nation_honduras,14.58,4.86,-17.64,,-0.400000,-0.400000,0.100000,-0.100000,latin
9,nation_nicaragua,6.48,2.16,-19.26,,-0.300000,0.000000,-0.100000,-0.100000,latin
9,nation_ai_expansionist,19.44,8.16,-0.78,,-0.138775,-0.038775,-0.161225,0.026530,latin
10,nation_ai_merchant,3.20,3.20,2.40,,0.100000,0.200000,-0.400000,-0.300000,latin
10,nation_costa_rica,5.00,5.00,26.00,,0.100000,0.300000,-0.800000,-0.600000,latin
10,nation_guatemala,39.20,11.20,-11.00,,-0.400000,-0.500000,0.200000,0.100000,latin
10,nation_honduras,16.20,5.40,-19.60,,-0.400000,-0.400000,0.100000,-0.100000,latin
10,nation_nicaragua,7.20,2.40,-21.40,,-0.300000,0.000000,-0.100000,-0.100000,latin
10,nation_ai_expansionist,21.62,9.08,-0.84,,-0.138656,-0.038656,-0.161344,0.026387,latin
11,nation_ai_merchant,3.52,3.52,2.04,,0.100000,0.200000,-0.400000,-0.300000,latin
11,nation_costa_rica,5.50,5.50,24.20,,0.100000,0.300000,-0.800000,-0.600000,latin
11,nation_guatemala,43.12,12.32,-12.10,,-0.400000,-0.500000,0.200000,0.100000,latin
11,nation_honduras,17.82,5.94,-21.56,,-0.400000,-0.400000,0.100000,-0.100000,latin
11,nation_nicaragua,7.92,2.64,-23.54,,-0.300000,0.000000,-0.100000,-0.100000,latin
11,nation_ai_expansionist,23.80,10.00,-0.90,,-0.138531,-0.038531,-0.161469,0.026238,latin
12,nation_ai_merchant,3.84,3.84,0.68,,0.100000,0.200000,-0.400000,-0.300000,latin
12,nation_costa_rica,6.00,6.00,22.40,,0.100000,0.300000,-0.800000,-0.600000,latin
12,nation_guatemala,47.04,13.44,-13.20,,-0.400000,-0.500000,0.200000,0.100000,latin
12,nation_honduras,19.44,6.48,-23.52,,-0.400000,-0.400000,0.100000,-0.100000,latin
12,nation_nicaragua,8.64,2.88,-25.68,,-0.300000,0.000000,-0.100000,-0.100000,latin
12,nation_ai_expansionist,25.98,10.92,-0.96,,-0.138403,-0.038403,-0.161597,0.026083,latin
13,nation_ai_merchant,4.16,4.16,-0.68,,0.100000,0.200000,-0.400000,-0.300000,latin
13,nation_costa_rica,6.50,6.50,20.60,,0.100000,0.300000,-0.800000,-0.600000,latin
13,nation_guatemala,50.96,14.56,-14.30,,-0.400000,-0.500000,0.200000,0.100000,latin
13,nation_honduras,21.06,7.02,-25.48,,-0.400000,-0.400000,0.100000,-0.100000,latin
13,nation_nicaragua,9.36,3.12,-27.82,,-0.300000,0.000000,-0.100000,-0.100000,latin
13,nation_ai_expansionist,28.16,11.84,-1.02,,-0.138271,-0.038271,-0.161729,0.025925,latin
14,nation_ai_merchant,4.48,4.48,-2.04,,0.100000,0.200000,-0.400000,-0.300000,latin
14,nation_costa_rica,7.00,7.00,18.80,,0.100000,0.300000,-0.800000,-0.600000,latin
14,nation_guatemala,54.88,15.68,-15.40,,-0.400000,-0.500000,0.200000,0.100000,latin
14,nation_honduras,22.68,7.56,-27.44,,-0.400000,-0.400000,0.100000,-0.100000,latin
14,nation_nicaragua,10.08,3.36,-29.96,,-0.300000,0.000000,-0.100000,-0.100000,latin
14,nation_ai_expansionist,30.34,12.76,-1.08,,-0.138136,-0.038136,-0.161864,0.025763,latin
15,nation_ai_merchant,4.80,4.80,-3.40,,0.100000,0.200000,-0.400000,-0.300000,latin
15,nation_costa_rica,7.50,7.50,17.00,,0.100000,0.300000,-0.800000,-0.600000,latin
15,nation_guatemala,58.80,16.80,-16.50,,-0.400000,-0.500000,0.200000,0.100000,latin
15,nation_honduras,24.30,8.10,-29.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
15,nation_nicaragua,10.80,3.60,-32.10,,-0.300000,0.000000,-0.100000,-0.100000,latin
15,nation_ai_expansionist,32.52,13.68,-1.14,,-0.137999,-0.037999,-0.162001,0.025599,latin
