tick,message
1,"Costa Rica declared war on Nicaragua."
1,"Nicaragua has become insolvent (wealth -5.1)."
1,"Guatemala has become insolvent (wealth -1.1)."
1,"Panamá has become insolvent (wealth -1.9)."
14,"Costa Rica has become insolvent (wealth -2.2)."
