tick,message
1,"Honduras has become insolvent (wealth -2.0)."
1,"Nicaragua has become insolvent (wealth -2.1)."
1,"Panamá has become insolvent (wealth -1.9)."
5,"[Caretaker] Costa Rica built a road in costa_rica."
20,"Treaty #1 between Costa Rica and Guatemala has completed its term. Both parties gain Trust."
