tick,nation_id,trust,inactivity_tier,activity_tier,wealth_stock,debt_balance
22,nation_honduras,50.000,active,active,-43.12,495.88
22,nation_panama,50.000,active,active,-40.92,470.58
22,nation_independent_costa_rica_11,50.000,active,active,7.70,0.00
22,nation_independent_nicaragua_13,50.000,active,active,3.24,0.00
23,nation_costa_rica,50.000,abandoned,dissolved,-17.12,106.80
23,nation_guatemala,50.000,active,active,-25.30,303.60
23,nation_honduras,50.000,active,active,-45.08,540.96
23,nation_panama,50.000,active,active,-42.78,513.36
23,nation_independent_costa_rica_11,50.000,active,active,8.40,0.00
23,nation_independent_nicaragua_13,50.000,active,active,3.60,0.00
24,nation_costa_rica,50.000,abandoned,dissolved,-18.62,125.42
24,nation_guatemala,50.000,active,active,-26.40,330.00
24,nation_honduras,50.000,active,active,-47.04,588.00
24,nation_panama,50.000,active,active,-44.64,558.00
24,nation_independent_costa_rica_11,50.000,active,active,9.10,0.00
24,nation_independent_nicaragua_13,50.000,active,active,3.96,0.00
25,nation_costa_rica,50.000,abandoned,dissolved,-20.12,145.54
25,nation_guatemala,50.000,active,active,-27.50,357.50
25,nation_honduras,50.000,active,active,-49.00,637.00
25,nation_panama,50.000,active,active,-46.50,604.50
25,nation_independent_costa_rica_11,50.000,active,active,9.80,0.00
25,nation_independent_nicaragua_13,50.000,active,active,4.32,0.00
