tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
13,nation_guatemala,50.96,14.56,-14.30,,-0.400000,-0.500000,0.200000,0.100000,latin
13,nation_honduras,21.06,7.02,-25.48,,-0.400000,-0.400000,0.100000,-0.100000,latin
13,nation_panama,4.16,4.16,-24.18,,0.100000,0.200000,-0.400000,-0.300000,latin
13,nation_independent_costa_rica_11,1.00,1.00,1.40,,0.085109,0.288832,-0.773941,-0.581386,latin
13,nation_independent_nicaragua_13,0.00,0.00,0.00,,-0.257172,0.032121,-0.174949,-0.153535,latin
14,nation_costa_rica,14.86,8.62,-3.62,,0.000000,0.000000,0.000000,0.000000,
14,nation_guatemala,54.88,15.68,-15.40,,-0.400000,-0.500000,0.200000,0.100000,latin
14,nation_honduras,22.68,7.56,-27.44,,-0.400000,-0.400000,0.100000,-0.100000,latin
14,nation_panama,4.48,4.48,-26.04,,0.100000,0.200000,-0.400000,-0.300000,latin
14,nation_independent_costa_rica_11,1.50,1.50,2.10,,0.085109,0.288832,-0.773941,-0.581386,latin
14,nation_independent_nicaragua_13,0.72,0.24,0.36,,-0.257172,0.032121,-0.174949,-0.153535,latin
15,nation_costa_rica,14.86,8.62,-5.12,,0.000000,0.000000,0.000000,0.000000,
15,nation_guatemala,58.80,16.80,-16.50,,-0.400000,-0.500000,0.200000,0.100000,latin
15,nation_honduras,24.30,8.10,-29.40,,-0.400000,-0.400000,0.100000,-0.100000,latin
15,nation_panama,4.80,4.80,-27.90,,0.100000,0.200000,-0.400000,-0.300000,latin
15,nation_independent_costa_rica_11,2.00,2.00,2.80,,0.085109,0.288832,-0.773941,-0.581386,latin
15,nation_independent_nicaragua_13,1.44,0.48,0.72,,-0.257172,0.032121,-0.174949,-0.153535,latin
16,nation_costa_rica,14.86,8.62,-6.62,,0.000000,0.000000,0.000000,0.000000,
16,nation_guatemala,62.72,17.92,-17.60,,-0.400000,-0.500000,0.200000,0.100000,latin
16,nation_honduras,25.92,8.64,-31.36,,-0.400000,-0.400000,0.100000,-0.100000,latin
16,nation_panama,5.12,5.12,-29.76,,0.100000,0.200000,-0.400000,-0.300000,latin
16,nation_independent_costa_rica_11,2.50,2.50,3.50,,0.085109,0.288832,-0.773941,-0.581386,latin
16,nation_independent_nicaragua_13,2.16,0.72,1.08,,-0.257172,0.032121,-0.174949,-0.153535,latin
17,nation_costa_rica,14.86,8.62,-8.12,,0.000000,0.000000,0.000000,0.000000,
17,nation_guatemala,66.64,19.04,-18.70,,-0.400000,-0.500000,0.200000,0.100000,latin
17,nation_honduras,27.54,9.18,-33.32,,-0.400000,-0.400000,0.100000,-0.100000,latin
17,nation_panama,5.44,5.44,-31.62,,0.100000,0.200000,-0.400000,-0.300000,latin
17,nation_independent_costa_rica_11,3.00,3.00,4.20,,0.085109,0.288832,-0.773941,-0.581386,latin
17,nation_independent_nicaragua_13,2.88,0.96,1.44,,-0.257172,0.032121,-0.174949,-0.153535,latin
18,nation_costa_rica,14.86,8.62,-9.62,,0.000000,0.000000,0.000000,0.000000,
18,nation_guatemala,70.56,20.16,-19.80,,-0.400000,-0.500000,0.200000,0.100000,latin
18,nation_honduras,29.16,9.72,-35.28,,-0.400000,-0.400000,0.100000,-0.100000,latin
18,nation_panama,5.76,5.76,-33.48,,0.100000,0.200000,-0.400000,-0.300000,latin
18,nation_independent_costa_rica_11,3.50,3.50,4.90,,0.085109,0.288832,-0.773941,-0.581386,latin
18,nation_independent_nicaragua_13,3.60,1.20,1.80,,-0.257172,0.032121,-0.174949,-0.153535,latin
19,nation_costa_rica,14.86,8.62,-11.12,,0.000000,0.000000,0.000000,0.000000,
19,nation_guatemala,74.48,21.28,-20.90,,-0.400000,-0.500000,0.200000,0.100000,latin
