tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
4,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1,active,nation_nicaragua,nation_costa_rica,"non_aggression",20,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
