tick,message
6,"Trade clause missed_payment: treaty #1 clause 1 — insufficient wealth (have 2.5, need 5)."
8,"Trade clause missed_payment: treaty #1 clause 1 — insufficient wealth (have 2.5, need 5)."
10,"Trade clause missed_payment: treaty #1 clause 1 — insufficient wealth (have 2.5, need 5)."
10,"Treaty #1 between Costa Rica and Guatemala has completed its term. Both parties gain Trust."
